kind,ref_idx,depth,objectRad,dist,center_frame,RickerDetector|Green|peak,RickerDetector|Green|frame,RickerDetector|joint|peak,RickerDetector|joint|frame,BoxDetector|Green|peak,BoxDetector|Green|frame,BoxDetector|joint|peak,BoxDetector|joint|frame,MultiWidthRickerDetector|Green|peak,MultiWidthRickerDetector|Green|frame,MultiWidthRickerDetector|joint|peak,MultiWidthRickerDetector|joint|frame,FresnelMatchedFilterDetector|Green|peak,FresnelMatchedFilterDetector|Green|frame,FresnelMatchedFilterDetector|joint|peak,FresnelMatchedFilterDetector|joint|frame,NormalizedSNRDetector|Green|peak,NormalizedSNRDetector|Green|frame,NormalizedSNRDetector|joint|peak,NormalizedSNRDetector|joint|frame
inject,432,0.3463117435883676,959.7134440336827,30.94343247682457,586,3.0580155459422524,1655,3.0580155459422524,1655,3.6550423026807874,2248,3.6550423026807874,2248,4.118886246279505,2246,4.118886246279505,2246,4.258191214709928,1727,4.258191214709928,1727,1.2451691397007418,60,1.2451691397007418,60
inject,1260,0.07981506286759432,1102.9105724750195,43.689329004613285,1908,2.7133304643431475,762,2.7133304643431475,762,2.986253089665044,704,2.986253089665044,704,4.458842905014953,205,4.458842905014953,205,4.551020118448807,205,4.551020118448807,205,36.86650250543962,685,36.86650250543962,685
inject,777,0.056728183516446595,419.5546310676707,43.03281441520979,389,3.441001849872666,1763,3.441001849872666,1763,3.5581707950832415,996,3.5581707950832415,996,3.747635639756386,1166,3.747635639756386,1166,5.316392144986313,989,5.316392144986313,989,35.49501122951794,2128,35.49501122951794,2128
inject,362,0.18752555671313964,840.6295593378567,40.66319794898917,1529,3.3184926933216694,1954,3.3184926933216694,1954,3.588876746733243,1845,3.588876746733243,1845,3.679539811696121,491,3.679539811696121,491,4.291022332936034,274,4.291022332936034,274,0.861810364505725,1502,0.861810364505725,1502
inject,310,0.17427000365738676,1283.8894556499545,32.958524209438025,426,3.898408829792831,1615,3.898408829792831,1615,3.5474181495518113,142,3.5474181495518113,142,3.898408829792831,1615,3.898408829792831,1615,4.790630633454721,1615,4.790630633454721,1615,4.866977491770359,1615,4.866977491770359,1615
inject,669,0.2692137490851686,1937.1325382112543,42.01375554912914,597,3.3329545592283294,1951,3.3329545592283294,1951,3.011286843919216,1824,3.011286843919216,1824,3.669905765809258,1811,3.669905765809258,1811,3.801011359884522,1949,3.801011359884522,1949,36.40400840444857,100,36.40400840444857,100
inject,972,0.048215107790508416,1853.2742966025612,30.97905624616937,1494,4.036017408932174,1054,4.036017408932174,1054,3.414233023667011,1053,3.414233023667011,1053,4.403718495024345,1054,4.403718495024345,1054,4.561149558982524,1055,4.561149558982524,1055,0.967690089444901,2343,0.967690089444901,2343
inject,887,0.24778377147354558,1628.0238535298429,37.28302708169382,2137,2.865029409485214,875,2.865029409485214,875,3.4409341742226065,821,3.4409341742226065,821,3.8063821605682864,394,3.8063821605682864,394,4.706560566414428,816,4.706560566414428,816,1.4586381164280615,1372,1.4586381164280615,1372
inject,1040,0.24068960429561548,1641.562860298748,41.98794569574172,1595,3.311893084437597,995,3.311893084437597,995,3.5511065012601613,121,3.5511065012601613,121,3.4397128190463864,995,3.4397128190463864,995,4.746254711236624,994,4.746254711236624,994,1.1468974783956238,994,1.1468974783956238,994
inject,555,0.4487854976971034,1009.6617907474457,38.12114975445247,938,3.5235995203674477,1454,3.5235995203674477,1454,3.446304676229514,727,3.446304676229514,727,3.585783585891596,1455,3.585783585891596,1455,5.036294258688541,1364,5.036294258688541,1364,11.654542429734446,1018,11.654542429734446,1018
inject,577,0.2198448735725549,1748.1890507982368,32.08397518680296,1663,3.7252935682164963,699,3.7252935682164963,699,3.1526788527111185,2178,3.1526788527111185,2178,3.7252935682164963,699,3.7252935682164963,699,4.397997306987837,701,4.397997306987837,701,1.2067150543909846,1834,1.2067150543909846,1834
